[2025-06-27 10:00:41] IP: ::1 | Page: /akshaynetra/ | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
[2025-06-27 10:18:49] IP: ::1 | Page: /akshaynetra/ | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36 | Referer: Direct
[2025-06-27 10:18:49] IP: ::1 | Page: /akshaynetra/ | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36 | Referer: http://localhost/akshaynetra/
[2025-06-27 10:19:15] IP: ::1 | Page: /akshaynetra/ | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36 | Referer: Direct
[2025-06-27 10:19:15] IP: ::1 | Page: /akshaynetra/ | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36 | Referer: http://localhost/akshaynetra/
[2025-06-27 10:25:58] IP: ::1 | Page: /akshaynetra/ | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36 | Referer: Direct
[2025-06-27 10:25:58] IP: ::1 | Page: /akshaynetra/ | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36 | Referer: http://localhost/akshaynetra/
[2025-06-27 10:27:39] IP: ::1 | Page: /akshaynetra/ | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36 | Referer: Direct
[2025-06-27 10:41:22] IP: ::1 | Page: /akshaynetra/ | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36 | Referer: Direct
[2025-06-27 10:42:02] IP: ::1 | Page: /akshaynetra/ | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36 | Referer: Direct
[2025-06-27 10:44:33] IP: ::1 | Page: /akshaynetra/ | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36 | Referer: Direct
[2025-06-27 10:45:09] IP: ::1 | Page: /akshaynetra/ | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36 | Referer: Direct
